MIDKlNG,challenger,"1,614","[('ahri', 74, 37, 13), ('vex', 50, 13, 13), ('leblanc', 67, 14, 7), ('sylas', 56, 9, 7), ('twistedfate', 86, 12, 2), ('akali', 71, 10, 4), ('syndra', 57, 8, 6), ('ezreal', 92, 12, 1), ('zoe', 69, 9, 4), ('lucian', 55, 6, 5), ('yasuo', 60, 6, 4), ('kaisa', 67, 6, 3), ('ryze', 56, 5, 4), ('yone', 44, 4, 5), ('veigar', 67, 4, 2), ('viktor', 67, 4, 2), ('rakan', 50, 3, 3), ('gwen', 33, 2, 4), ('jhin', 40, 2, 3), ('nautilus', 100, 4, 0), ('jinx', 100, 4, 0), ('nidalee', 75, 3, 1), ('jayce', 50, 2, 2), ('tristana', 50, 2, 2), ('samira', 25, 1, 3), ('nocturne', 67, 2, 1), ('tryndamere', 67, 2, 1), ('corki', 67, 2, 1), ('renekton', 100, 2, 0), ('gragas', 100, 2, 0), ('pantheon', 50, 1, 1), ('anivia', 50, 1, 1), ('kassadin', 50, 1, 1), ('pyke', 0, 0, 2), ('aphelios', 0, 0, 2), ('xayah', 100, 1, 0), ('camille', 100, 1, 0), ('neeko', 100, 1, 0), ('gangplank', 100, 1, 0), ('talon', 100, 1, 0), ('alistar', 100, 1, 0), ('sett', 100, 1, 0), ('ziggs', 100, 1, 0), ('tahmkench', 100, 1, 0), ('viego', 100, 1, 0), ('aatrox', 0, 0, 1), ('leona', 0, 0, 1), ('qiyana', 0, 0, 1), ('ekko', 0, 0, 1), ('irelia', 0, 0, 1), ('sion', 0, 0, 1), ('vayne', 0, 0, 1), ('khazix', 0, 0, 1)]"
DK ShowMaker,challenger,"1,576","[('ahri', 68, 34, 16), ('vex', 58, 15, 11), ('zoe', 79, 15, 4), ('akali', 56, 10, 8), ('yone', 82, 14, 3), ('ezreal', 47, 8, 9), ('leblanc', 47, 8, 9), ('sylas', 53, 8, 7), ('ryze', 64, 9, 5), ('twistedfate', 58, 7, 5), ('jayce', 60, 6, 4), ('syndra', 50, 5, 5), ('yasuo', 67, 6, 3), ('corki', 67, 6, 3), ('tryndamere', 44, 4, 5), ('kaisa', 63, 5, 3), ('nautilus', 38, 3, 5), ('gwen', 86, 6, 1), ('veigar', 83, 5, 1), ('talon', 83, 5, 1), ('kassadin', 67, 4, 2), ('aphelios', 50, 3, 3), ('taliyah', 100, 5, 0), ('leona', 40, 2, 3), ('jinx', 50, 2, 2), ('tristana', 50, 2, 2), ('viktor', 50, 2, 2), ('lucian', 25, 1, 3), ('nidalee', 67, 2, 1), ('xerath', 67, 2, 1), ('jhin', 67, 2, 1), ('anivia', 33, 1, 2), ('akshan', 33, 1, 2), ('viego', 33, 1, 2), ('xayah', 33, 1, 2), ('swain', 33, 1, 2), ('zeri', 0, 0, 3), ('lissandra', 100, 2, 0), ('vayne', 50, 1, 1), ('yuumi', 0, 0, 2), ('gangplank', 0, 0, 2), ('galio', 100, 1, 0), ('sejuani', 100, 1, 0), ('kennen', 100, 1, 0), ('ornn', 100, 1, 0), ('pantheon', 100, 1, 0), ('ekko', 100, 1, 0), ('caitlyn', 100, 1, 0), ('qiyana', 100, 1, 0), ('sion', 100, 1, 0), ('camille', 100, 1, 0), ('renekton', 100, 1, 0), ('gragas', 100, 1, 0), ('graves', 100, 1, 0), ('zilean', 0, 0, 1), ('leesin', 0, 0, 1), ('nami', 0, 0, 1), ('karthus', 0, 0, 1), ('katarina', 0, 0, 1), ('azir', 0, 0, 1), ('tahmkench', 0, 0, 1), ('ziggs', 0, 0, 1), ('kalista', 0, 0, 1), ('fizz', 0, 0, 1)]"
JUGKlNG,challenger,"1,575","[('nidalee', 58, 41, 30), ('akshan', 55, 37, 30), ('leesin', 65, 35, 19), ('jayce', 59, 30, 21), ('graves', 52, 22, 20), ('zed', 51, 21, 20), ('viego', 47, 14, 16), ('talon', 64, 14, 8), ('gwen', 64, 14, 8), ('kayn', 56, 10, 8), ('monkeyking', 29, 5, 12), ('gragas', 63, 10, 6), ('ryze', 40, 6, 9), ('pantheon', 54, 7, 6), ('lillia', 55, 6, 5), ('diana', 50, 5, 5), ('ivern', 78, 7, 2), ('sylas', 63, 5, 3), ('masteryi', 50, 4, 4), ('poppy', 57, 4, 3), ('karthus', 83, 5, 1), ('reksai', 83, 5, 1), ('qiyana', 67, 4, 2), ('jhin', 17, 1, 5), ('jarvaniv', 100, 5, 0), ('taliyah', 60, 3, 2), ('sion', 60, 3, 2), ('vi', 40, 2, 3), ('rammus', 50, 2, 2), ('akali', 50, 2, 2), ('yone', 25, 1, 3), ('xerath', 0, 0, 4), ('hecarim', 100, 3, 0), ('zac', 100, 3, 0), ('aatrox', 67, 2, 1), ('camille', 67, 2, 1), ('volibear', 67, 2, 1), ('rengar', 0, 0, 3), ('kindred', 50, 1, 1), ('elise', 50, 1, 1), ('ezreal', 50, 1, 1), ('kaisa', 50, 1, 1), ('trundle', 50, 1, 1), ('ashe', 0, 0, 2), ('nautilus', 0, 0, 2), ('lucian', 100, 1, 0), ('xayah', 100, 1, 0), ('sett', 100, 1, 0), ('ornn', 100, 1, 0), ('khazix', 100, 1, 0), ('udyr', 0, 0, 1), ('sejuani', 0, 0, 1), ('zeri', 0, 0, 1), ('skarner', 0, 0, 1), ('tryndamere', 0, 0, 1), ('nunu', 0, 0, 1)]"
SMB heixiaohu,challenger,"1,570","[('leesin', 57, 50, 38), ('viego', 59, 51, 35), ('graves', 65, 35, 19), ('diana', 60, 29, 19), ('hecarim', 50, 19, 19), ('nautilus', 34, 11, 21), ('rakan', 67, 18, 9), ('volibear', 72, 18, 7), ('gragas', 61, 14, 9), ('reksai', 64, 14, 8), ('lillia', 50, 10, 10), ('khazix', 68, 13, 6), ('monkeyking', 47, 9, 10), ('jayce', 63, 10, 6), ('ekko', 60, 9, 6), ('talon', 50, 7, 7), ('alistar', 46, 6, 7), ('jarvaniv', 50, 6, 6), ('nocturne', 64, 7, 4), ('xinzhao', 90, 9, 1), ('zed', 63, 5, 3), ('poppy', 50, 4, 4), ('trundle', 40, 2, 3), ('pantheon', 33, 1, 2), ('camille', 33, 1, 2), ('olaf', 0, 0, 3), ('vladimir', 50, 1, 1), ('renekton', 50, 1, 1), ('senna', 50, 1, 1), ('kaisa', 100, 1, 0), ('riven', 100, 1, 0), ('shyvana', 100, 1, 0), ('samira', 0, 0, 1), ('aurelionsol', 0, 0, 1), ('karma', 0, 0, 1), ('kindred', 0, 0, 1), ('leona', 0, 0, 1), ('warwick', 0, 0, 1)]"
Gen G Peyz,challenger,"1,522","[('aphelios', 46, 32, 37), ('kalista', 57, 31, 23), ('kaisa', 50, 24, 24), ('jinx', 52, 24, 22), ('ezreal', 53, 23, 20), ('xayah', 62, 21, 13), ('lucian', 69, 20, 9), ('senna', 75, 21, 7), ('vayne', 39, 11, 17), ('jhin', 65, 17, 9), ('samira', 50, 13, 13), ('zeri', 64, 16, 9), ('yasuo', 52, 12, 11), ('varus', 64, 14, 8), ('viego', 62, 13, 8), ('viktor', 55, 11, 9), ('leesin', 50, 10, 10), ('caitlyn', 58, 11, 8), ('diana', 71, 10, 4), ('nidalee', 62, 8, 5), ('ashe', 70, 7, 3), ('tristana', 60, 6, 4), ('twitch', 67, 6, 3), ('yone', 50, 3, 3), ('draven', 17, 1, 5), ('kindred', 100, 2, 0), ('karma', 50, 1, 1), ('yuumi', 50, 1, 1), ('ziggs', 0, 0, 2), ('missfortune', 0, 0, 1), ('sivir', 0, 0, 1), ('cassiopeia', 0, 0, 1), ('gragas', 0, 0, 1), ('graves', 0, 0, 1), ('vladimir', 0, 0, 1), ('jayce', 0, 0, 1), ('pyke', 0, 0, 1)]"
byz,challenger,"1,468","[('graves', 56, 64, 51), ('viego', 57, 56, 43), ('talon', 47, 28, 31), ('diana', 62, 34, 21), ('reksai', 56, 23, 18), ('leesin', 47, 16, 18), ('samira', 67, 22, 11), ('taliyah', 50, 16, 16), ('gwen', 48, 15, 16), ('nidalee', 48, 12, 13), ('hecarim', 61, 14, 9), ('karthus', 48, 11, 12), ('kindred', 70, 14, 6), ('xinzhao', 56, 10, 8), ('jinx', 36, 5, 9), ('ezreal', 50, 6, 6), ('jayce', 50, 6, 6), ('yone', 70, 7, 3), ('ekko', 67, 6, 3), ('tryndamere', 56, 5, 4), ('zed', 44, 4, 5), ('monkeyking', 63, 5, 3), ('lillia', 43, 3, 4), ('kayn', 67, 4, 2), ('vayne', 25, 1, 3), ('khazix', 67, 2, 1), ('lucian', 50, 1, 1), ('olaf', 50, 1, 1), ('evelynn', 100, 1, 0), ('sylas', 100, 1, 0), ('kaisa', 0, 0, 1), ('volibear', 0, 0, 1), ('shyvana', 0, 0, 1), ('gragas', 0, 0, 1)]"
ASD QQQ ZZZ,challenger,"1,461","[('viego', 60, 40, 27), ('leesin', 61, 37, 24), ('graves', 64, 36, 20), ('kayn', 63, 22, 13), ('sylas', 79, 27, 7), ('nocturne', 61, 17, 11), ('shaco', 68, 15, 7), ('ahri', 62, 13, 8), ('twistedfate', 52, 11, 10), ('zed', 42, 8, 11), ('jayce', 72, 13, 5), ('veigar', 59, 10, 7), ('talon', 50, 8, 8), ('jarvaniv', 50, 7, 7), ('nidalee', 67, 8, 4), ('xinzhao', 58, 7, 5), ('hecarim', 58, 7, 5), ('karthus', 50, 6, 6), ('kindred', 42, 5, 7), ('tryndamere', 45, 5, 6), ('khazix', 44, 4, 5), ('trundle', 50, 4, 4), ('diana', 43, 3, 4), ('volibear', 14, 1, 6), ('sejuani', 80, 4, 1), ('ryze', 60, 3, 2), ('orianna', 40, 2, 3), ('corki', 75, 3, 1), ('ekko', 50, 2, 2), ('poppy', 50, 2, 2), ('udyr', 25, 1, 3), ('camille', 25, 1, 3), ('yone', 0, 0, 4), ('azir', 67, 2, 1), ('rakan', 67, 2, 1), ('gragas', 67, 2, 1), ('galio', 33, 1, 2), ('olaf', 33, 1, 2), ('akali', 33, 1, 2), ('nautilus', 100, 2, 0), ('viktor', 50, 1, 1), ('monkeyking', 50, 1, 1), ('vi', 50, 1, 1), ('swain', 0, 0, 2), ('lissandra', 0, 0, 2), ('gwen', 0, 0, 2), ('lillia', 0, 0, 2), ('leblanc', 0, 0, 2), ('jax', 100, 1, 0), ('kassadin', 100, 1, 0), ('renekton', 100, 1, 0), ('ezreal', 100, 1, 0), ('xayah', 100, 1, 0), ('sion', 100, 1, 0), ('vex', 100, 1, 0), ('chogath', 100, 1, 0), ('taliyah', 100, 1, 0), ('alistar', 100, 1, 0), ('vladimir', 0, 0, 1), ('caitlyn', 0, 0, 1), ('ziggs', 0, 0, 1), ('fiddlesticks', 0, 0, 1), ('leona', 0, 0, 1), ('kaisa', 0, 0, 1), ('nunu', 0, 0, 1), ('ivern', 0, 0, 1), ('zac', 0, 0, 1), ('reksai', 0, 0, 1), ('malphite', 0, 0, 1)]"
후회없는인생살게,challenger,"1,459","[('nautilus', 52, 89, 81), ('karma', 48, 50, 54), ('rakan', 60, 38, 25), ('leona', 65, 36, 19), ('yuumi', 47, 26, 29), ('lulu', 56, 23, 18), ('sett', 51, 21, 20), ('renata', 53, 21, 19), ('alistar', 67, 26, 13), ('thresh', 70, 26, 11), ('tahmkench', 61, 19, 12), ('gragas', 50, 9, 9), ('pyke', 56, 9, 7), ('jhin', 33, 5, 10), ('lux', 62, 8, 5), ('blitzcrank', 73, 8, 3), ('nami', 45, 5, 6), ('kaisa', 60, 6, 4), ('ezreal', 40, 4, 6), ('rell', 50, 3, 3), ('braum', 40, 2, 3), ('soraka', 50, 2, 2), ('zeri', 50, 2, 2), ('shen', 100, 3, 0), ('senna', 50, 1, 1), ('ashe', 50, 1, 1), ('galio', 50, 1, 1), ('taric', 50, 1, 1), ('sona', 50, 1, 1), ('samira', 50, 1, 1), ('seraphine', 100, 1, 0), ('trundle', 100, 1, 0), ('leesin', 0, 0, 1), ('zilean', 0, 0, 1), ('aphelios', 0, 0, 1), ('tristana', 0, 0, 1), ('xayah', 0, 0, 1)]"
Tiancaishaonian,challenger,"1,455","[('ahri', 68, 58, 27), ('sylas', 65, 47, 25), ('akshan', 52, 32, 30), ('leblanc', 45, 25, 31), ('syndra', 51, 24, 23), ('zoe', 53, 23, 20), ('vex', 50, 21, 21), ('ryze', 51, 18, 17), ('lucian', 62, 21, 13), ('akali', 54, 13, 11), ('jayce', 50, 10, 10), ('taliyah', 56, 10, 8), ('yone', 44, 8, 10), ('azir', 65, 11, 6), ('swain', 59, 10, 7), ('viktor', 35, 6, 11), ('rumble', 53, 8, 7), ('orianna', 47, 7, 8), ('irelia', 58, 7, 5), ('galio', 50, 6, 6), ('renekton', 73, 8, 3), ('qiyana', 73, 8, 3), ('twistedfate', 36, 4, 7), ('yasuo', 67, 6, 3), ('neeko', 56, 5, 4), ('corki', 33, 3, 6), ('kaisa', 33, 3, 6), ('lissandra', 75, 6, 2), ('volibear', 50, 3, 3), ('cassiopeia', 100, 5, 0), ('gwen', 60, 3, 2), ('graves', 40, 2, 3), ('gragas', 0, 0, 5), ('camille', 25, 1, 3), ('tristana', 100, 3, 0), ('mordekaiser', 100, 3, 0), ('zilean', 67, 2, 1), ('aurelionsol', 33, 1, 2), ('urgot', 33, 1, 2), ('sett', 0, 0, 3), ('lux', 100, 2, 0), ('ezreal', 50, 1, 1), ('xayah', 50, 1, 1), ('thresh', 50, 1, 1), ('nautilus', 50, 1, 1), ('pyke', 0, 0, 2), ('karma', 0, 0, 2), ('diana', 0, 0, 2), ('zeri', 0, 0, 2), ('sion', 100, 1, 0), ('gangplank', 100, 1, 0), ('veigar', 100, 1, 0), ('nami', 100, 1, 0), ('vi', 100, 1, 0), ('tryndamere', 100, 1, 0), ('brand', 0, 0, 1), ('tahmkench', 0, 0, 1), ('seraphine', 0, 0, 1), ('viego', 0, 0, 1), ('ziggs', 0, 0, 1), ('missfortune', 0, 0, 1), ('pantheon', 0, 0, 1)]"
hope3,challenger,"1,442","[('aphelios', 50, 103, 101), ('xayah', 63, 69, 41), ('zeri', 56, 44, 35), ('gragas', 56, 32, 25), ('caitlyn', 64, 32, 18), ('lucian', 66, 29, 15), ('ezreal', 57, 25, 19), ('kaisa', 60, 26, 17), ('jinx', 45, 17, 21), ('jhin', 62, 18, 11), ('kalista', 64, 16, 9), ('aatrox', 11, 1, 8), ('samira', 29, 2, 5), ('rakan', 29, 2, 5), ('missfortune', 50, 2, 2), ('alistar', 100, 3, 0), ('senna', 67, 2, 1), ('karma', 33, 1, 2), ('varus', 0, 0, 3), ('leesin', 50, 1, 1), ('ziggs', 100, 1, 0), ('graves', 100, 1, 0), ('syndra', 100, 1, 0), ('tristana', 100, 1, 0), ('yone', 0, 0, 1), ('ahri', 0, 0, 1), ('vayne', 0, 0, 1), ('zed', 0, 0, 1), ('renekton', 0, 0, 1)]"
