None,None,None,None
Intentions,diamond 1,14,"[('syndra', 61, 14, 9), ('leblanc', 62, 8, 5), ('yone', 40, 4, 6), ('viktor', 25, 2, 6), ('ahri', 20, 1, 4), ('zoe', 33, 1, 2), ('vex', 33, 1, 2), ('lucian', 100, 2, 0), ('orianna', 100, 2, 0), ('ryze', 0, 0, 2), ('masteryi', 100, 1, 0), ('akali', 100, 1, 0), ('renekton', 100, 1, 0), ('jayce', 0, 0, 1)]"
겨울아 그만 짖어,diamond 1,7,"[('aphelios', 48, 11, 12), ('jhin', 59, 13, 9), ('samira', 61, 11, 7), ('yasuo', 50, 5, 5), ('leesin', 40, 4, 6), ('lucian', 57, 4, 3), ('graves', 50, 3, 3), ('nidalee', 60, 3, 2), ('draven', 40, 2, 3), ('kaisa', 20, 1, 4), ('ezreal', 75, 3, 1), ('zeri', 25, 1, 3), ('taliyah', 67, 2, 1), ('jinx', 0, 0, 3), ('vayne', 100, 2, 0), ('caitlyn', 100, 2, 0), ('hecarim', 50, 1, 1), ('xinzhao', 50, 1, 1), ('xayah', 0, 0, 2), ('diana', 0, 0, 2), ('sylas', 100, 1, 0), ('lulu', 100, 1, 0), ('viktor', 100, 1, 0), ('leona', 100, 1, 0), ('soraka', 0, 0, 1), ('kalista', 0, 0, 1), ('tristana', 0, 0, 1), ('gragas', 0, 0, 1), ('akali', 0, 0, 1), ('sejuani', 0, 0, 1)]"
Little Seraph,diamond 1,31,"[('vex', 58, 37, 27), ('lux', 61, 36, 23), ('leblanc', 53, 21, 19), ('thresh', 53, 8, 7), ('blitzcrank', 47, 7, 8), ('syndra', 43, 3, 4), ('akali', 33, 2, 4), ('sylas', 40, 2, 3), ('ahri', 20, 1, 4), ('akshan', 33, 1, 2), ('orianna', 100, 2, 0), ('nunu', 50, 1, 1), ('ekko', 100, 1, 0), ('leesin', 100, 1, 0), ('brand', 100, 1, 0), ('lulu', 100, 1, 0), ('seraphine', 100, 1, 0), ('qiyana', 100, 1, 0), ('lissandra', 100, 1, 0), ('jhin', 100, 1, 0), ('twistedfate', 0, 0, 1), ('karma', 0, 0, 1), ('jayce', 0, 0, 1), ('alistar', 0, 0, 1)]"
도구사용좀,diamond 1,31,"[('blitzcrank', 51, 18, 17), ('xerath', 67, 16, 8), ('thresh', 42, 10, 14), ('lulu', 40, 6, 9), ('nautilus', 50, 4, 4), ('ezreal', 71, 5, 2), ('pyke', 50, 3, 3), ('karma', 60, 3, 2), ('bard', 50, 2, 2), ('morgana', 33, 1, 2), ('alistar', 100, 2, 0), ('anivia', 50, 1, 1), ('lux', 0, 0, 2), ('yone', 100, 1, 0), ('kaisa', 100, 1, 0), ('nami', 100, 1, 0), ('graves', 100, 1, 0), ('jinx', 100, 1, 0), ('lillia', 0, 0, 1)]"
메뚜기한철이야,diamond 1,13,"[('jinx', 54, 77, 65), ('zeri', 58, 73, 53), ('ezreal', 47, 40, 45), ('samira', 54, 35, 30), ('aphelios', 38, 22, 36), ('kaisa', 56, 30, 24), ('xayah', 49, 24, 25), ('caitlyn', 57, 27, 20), ('draven', 47, 22, 25), ('jhin', 56, 25, 20), ('lucian', 42, 14, 19), ('graves', 42, 10, 14), ('tristana', 29, 5, 12), ('missfortune', 40, 6, 9), ('kalista', 50, 6, 6), ('vayne', 40, 4, 6), ('varus', 40, 4, 6), ('twitch', 22, 2, 7), ('senna', 43, 3, 4), ('xerath', 100, 6, 0), ('gragas', 83, 5, 1), ('ahri', 17, 1, 5), ('ryze', 60, 3, 2), ('leesin', 20, 1, 4), ('viktor', 25, 1, 3), ('taliyah', 100, 3, 0), ('akali', 67, 2, 1), ('viego', 67, 2, 1), ('yasuo', 67, 2, 1), ('tryndamere', 67, 2, 1), ('jayce', 67, 2, 1), ('yone', 33, 1, 2), ('sylas', 33, 1, 2), ('diana', 33, 1, 2), ('corki', 33, 1, 2), ('karma', 0, 0, 3), ('kogmaw', 0, 0, 3), ('syndra', 100, 2, 0), ('braum', 50, 1, 1), ('ashe', 50, 1, 1), ('ziggs', 50, 1, 1), ('alistar', 50, 1, 1), ('camille', 0, 0, 2), ('renekton', 0, 0, 2), ('kayle', 100, 1, 0), ('akshan', 100, 1, 0), ('renata', 100, 1, 0), ('fiora', 100, 1, 0), ('kassadin', 100, 1, 0), ('seraphine', 100, 1, 0), ('leona', 100, 1, 0), ('gwen', 100, 1, 0), ('sivir', 100, 1, 0), ('gangplank', 0, 0, 1), ('rakan', 0, 0, 1), ('nami', 0, 0, 1), ('katarina', 0, 0, 1), ('monkeyking', 0, 0, 1), ('leblanc', 0, 0, 1), ('twistedfate', 0, 0, 1), ('talon', 0, 0, 1), ('lissandra', 0, 0, 1), ('vex', 0, 0, 1), ('zilean', 0, 0, 1), ('bard', 0, 0, 1), ('kindred', 0, 0, 1), ('nautilus', 0, 0, 1), ('yuumi', 0, 0, 1), ('lulu', 0, 0, 1), ('thresh', 0, 0, 1)]"
신조차모욕하는천재탑솔러,diamond 1,31,"[('rumble', 54, 82, 71), ('jax', 66, 21, 11), ('jayce', 70, 7, 3), ('gragas', 60, 6, 4), ('olaf', 67, 6, 3), ('renekton', 38, 3, 5), ('gwen', 50, 2, 2), ('gangplank', 67, 2, 1), ('viktor', 0, 0, 3), ('akali', 50, 1, 1), ('aatrox', 0, 0, 2), ('volibear', 0, 0, 2), ('darius', 100, 1, 0), ('khazix', 100, 1, 0), ('akshan', 100, 1, 0), ('fiora', 100, 1, 0), ('xinzhao', 0, 0, 1), ('lillia', 0, 0, 1), ('mordekaiser', 0, 0, 1), ('shen', 0, 0, 1), ('yorick', 0, 0, 1), ('sylas', 0, 0, 1), ('leona', 0, 0, 1)]"
aegis424,diamond 1,31,"[('drmundo', 51, 413, 395), ('trundle', 46, 13, 15), ('blitzcrank', 46, 11, 13), ('leona', 38, 3, 5), ('ornn', 0, 0, 2), ('maokai', 0, 0, 2), ('fizz', 0, 0, 1)]"
모든원딜명예주기,diamond 1,31,"[('nautilus', 75, 6, 2), ('ryze', 50, 2, 2), ('karma', 25, 1, 3), ('renekton', 100, 3, 0), ('tahmkench', 100, 3, 0), ('gragas', 67, 2, 1), ('leona', 33, 1, 2), ('camille', 33, 1, 2), ('rakan', 100, 2, 0), ('soraka', 100, 2, 0), ('kaisa', 0, 0, 2), ('shaco', 0, 0, 2), ('leesin', 100, 1, 0), ('taric', 100, 1, 0), ('blitzcrank', 100, 1, 0), ('zilean', 100, 1, 0), ('yuumi', 100, 1, 0), ('poppy', 100, 1, 0), ('elise', 100, 1, 0), ('amumu', 100, 1, 0), ('seraphine', 0, 0, 1), ('galio', 0, 0, 1), ('singed', 0, 0, 1), ('thresh', 0, 0, 1)]"
lpy,diamond 1,45,"[('fiora', 61, 95, 61), ('sylas', 44, 34, 44), ('aatrox', 53, 33, 29), ('vladimir', 59, 22, 15), ('yasuo', 59, 20, 14), ('jax', 63, 17, 10), ('camille', 63, 10, 6), ('mordekaiser', 58, 7, 5), ('kassadin', 45, 5, 6), ('yone', 50, 5, 5), ('kayn', 43, 3, 4), ('sett', 29, 2, 5), ('olaf', 33, 2, 4), ('blitzcrank', 60, 3, 2), ('renekton', 60, 3, 2), ('malphite', 20, 1, 4), ('riven', 50, 1, 1), ('darius', 50, 1, 1), ('teemo', 0, 0, 2), ('pantheon', 100, 1, 0), ('tryndamere', 100, 1, 0), ('reksai', 0, 0, 1), ('nunu', 0, 0, 1), ('kayle', 0, 0, 1), ('fizz', 0, 0, 1), ('khazix', 0, 0, 1), ('lillia', 0, 0, 1), ('yuumi', 0, 0, 1)]"
